lead_months,feature,mean_abs_shap
3,sst_lag0,8.385907858610153e-05
3,sst_lag1,3.360008849995211e-05
3,sst_lag2,2.3707527361693792e-05
3,sst_lag3,3.1009687518235296e-05
3,tauu_lag0,5.479302490130067e-05
3,tauu_lag1,4.4783471821574494e-05
3,tauu_lag2,3.546815423760563e-05
3,tauu_lag3,2.3248567231348716e-05
3,olr_lag0,8.264772623078898e-05
3,olr_lag1,7.61265036999248e-05
3,olr_lag2,3.0081730074016377e-05
3,olr_lag3,4.332745083956979e-05
3,slp_lag0,2.3594255253556184e-05
3,slp_lag1,2.8372789529385045e-05
3,slp_lag2,1.696266008366365e-05
3,slp_lag3,1.4779820958210621e-05
3,d20_lag0,8.713348506717011e-05
3,d20_lag1,4.8435449571115896e-05
3,d20_lag2,3.950720565626398e-05
3,d20_lag3,3.122167618130334e-05
6,sst_lag0,0.00010027393727796152
6,sst_lag1,5.420037996373139e-05
6,sst_lag2,2.9613158403662965e-05
6,sst_lag3,9.795386722544208e-05
6,tauu_lag0,7.091024599503726e-05
6,tauu_lag1,4.1088085708906874e-05
6,tauu_lag2,3.2825661037350073e-05
6,tauu_lag3,2.7686855901265517e-05
6,olr_lag0,0.0001585495483595878
6,olr_lag1,9.61706682574004e-05
6,olr_lag2,4.928111957269721e-05
6,olr_lag3,6.323914567474276e-05
6,slp_lag0,4.771257590618916e-05
6,slp_lag1,4.051937139593065e-05
6,slp_lag2,1.825340405048337e-05
6,slp_lag3,3.255304181948304e-05
6,d20_lag0,8.552696090191603e-05
6,d20_lag1,7.109353464329615e-05
6,d20_lag2,5.053733548265882e-05
6,d20_lag3,0.00011108776379842311
12,sst_lag0,7.032323628664017e-05
12,sst_lag1,5.583008532994427e-05
12,sst_lag2,6.523247429868206e-05
12,sst_lag3,0.00011803818779299036
12,tauu_lag0,2.7431800845079124e-05
12,tauu_lag1,2.8762879082933068e-05
12,tauu_lag2,1.527734457340557e-05
12,tauu_lag3,1.6242782294284552e-05
12,olr_lag0,4.887394607067108e-05
12,olr_lag1,5.111554855830036e-05
12,olr_lag2,5.003132901038043e-05
12,olr_lag3,5.598493225988932e-05
12,slp_lag0,2.2487547539640218e-05
12,slp_lag1,2.450819192745257e-05
12,slp_lag2,1.3163914445613045e-05
12,slp_lag3,2.4995513740577735e-05
12,d20_lag0,9.606021194485947e-05
12,d20_lag1,9.095887799048796e-05
12,d20_lag2,8.806198457023129e-05
12,d20_lag3,9.121787297772244e-05
