lead_months,init_month,n_samples,rmse,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence
3,1,9,0.3197907696367112,0.8880577774683736,0.7621321654501167,-0.08078941777777775,0.6944622219946724,0.8154138549122699,0.5395130800373984
3,2,9,0.3641674602101875,0.7930005291593728,0.6161139478689813,-0.006525687888888891,0.8334733215753085,0.5216927878729921,0.5630724454120597
3,3,9,0.2377014319247021,0.9147464790847113,0.8271223329884579,-0.053398624444444424,0.8200000000000001,0.3423515431259815,0.7101202049698755
3,4,9,0.21626816870459287,0.9622403546647124,0.8978404508531378,-0.09583840066666667,0.7051950084905594,0.4474582735549176,0.6933214698052019
3,5,9,0.37605250460815,0.9245189976776443,0.829199691282926,-0.06030883111111112,0.6090612083818469,0.7502296283289138,0.38257025823850144
3,6,9,0.5419974386644604,0.9224735013249684,0.7418926433194235,-0.046659536666666696,0.6065018091023674,0.9030709722082135,0.10635478653126285
3,7,9,0.5492728275511608,0.9707630880479206,0.8029010110239619,-0.07936835111111111,0.6635845420475408,0.9256997568558684,0.17226398032670032
3,8,9,0.6192736871000785,0.9689119467387763,0.8042879688918589,-0.09578921555555558,0.6244909037679324,0.9428113486275823,0.008354351738952936
3,9,9,0.468051871292011,0.991990099928411,0.8795392734439027,-0.2354513655555556,0.4114608122288197,0.9709091723294101,-0.1375369351862361
3,10,8,0.39956115050566654,0.96020918110235,0.8831146651828076,-0.1830820325,0.2583602136552762,0.9769216622174823,-0.5465274039399552
3,11,8,0.3474508361511142,0.9665489724967713,0.8845453542713761,-0.21959098749999995,0.3776903493604252,0.9819858026304445,0.08006429939371795
3,12,8,0.3412366997085379,0.9451029041457536,0.8376075584955941,-0.19881625375,0.5100367633808371,0.957632897347274,0.33095665997366275
6,1,9,0.6516097789567138,0.42808159726572703,0.07259603427334915,-0.1723542688888889,1.3432795688165589,-0.05907828672923503,0.5149112708303992
6,2,9,0.8438172037531024,0.4369523760000826,0.14001984144651447,-0.034254858888888906,1.332620642860442,-0.0013367052082532695,0.3667986397525205
6,3,9,0.8762346375370357,0.5792127471053921,0.3253993606439761,-0.036029254444444395,1.2915623613799427,0.07315965935120589,0.3215700118414405
6,4,9,0.9255783307807349,0.6646801883376158,0.4403267840609435,-0.03597034199999998,1.2146238558134412,0.30011432067717103,0.23797122347735444
6,5,9,0.9891597866767918,0.7256435026435407,0.5006728576171899,-0.11439672377777782,1.1254974208963984,0.6337331797272897,0.1211354479257899
6,6,9,0.9837920137526025,0.7212105950994734,0.46781320798952764,-0.18496301066666662,0.9172240729505523,0.8458924207537301,-0.07257544014071993
6,7,8,0.8207872490096985,0.7990639660531734,0.5067640565444396,-0.10358682674999997,0.6968052095098026,0.8661654268655319,-0.17792926603851922
6,8,8,0.6774280944077147,0.9012021386759643,0.5611146358864325,-0.07571524824999995,0.4736032094485847,0.8965589236130151,-0.4303705737054504
6,9,8,0.4628268220612837,0.9005564258346126,0.7012613704263553,-0.085898199375,0.5331627331312645,0.8492228837155676,0.1319220318661396
6,10,8,0.4096424394329286,0.7797640475236495,0.607433303342342,-0.015022172499999983,0.7678541528180985,0.7887149456120776,0.4665100944892966
6,11,8,0.49279667442164615,0.5217708424454763,0.14842267968428546,-0.029795444999999997,1.187060444964788,0.4176332783283104,0.5848596619388964
6,12,8,0.5666921910372532,0.17134264163760887,-0.4485444417379021,-0.116729677875,1.3050095785089089,0.07512207538598355,0.5657562976014704
12,1,8,1.1839620400703845,0.09304479710552818,-0.026287577191676403,0.15057805937500002,1.5336842895459284,0.13290709708435794,0.2280275359533641
12,2,8,1.0446074858944063,0.08163207201439632,-0.043592521410589,0.09962304587500004,1.311525828948862,0.17535431988016548,0.20351741243889998
12,3,8,0.8249168133012356,0.2700476201941792,0.0509815490797243,0.08254022162499997,1.0981461651346782,0.17208813472463047,0.2488096398350883
12,4,8,0.6886092700853363,0.2545199129746543,-0.10930072258932366,0.163736817125,0.8122961282685028,0.281138368751394,0.1522681862916403
12,5,8,0.5943157924806297,0.3388254082165122,-0.2385772286907295,0.21302259500000004,0.7804325723597139,0.07084443300650006,0.23847900058340976
12,6,8,0.4849067471161992,0.500539673414407,-0.06060537029636737,0.1587190625,0.8089962917096715,-0.2471704964465218,0.4006069594071513
12,7,8,0.5402953753545469,0.5205196100675838,-0.06802924221900919,0.24627721975,0.9881168959186964,-0.4365291527525787,0.45320702683440095
12,8,8,0.7186036011715262,0.507430100723881,-0.16821075349034453,0.42262910312499996,1.2508996762330702,-0.37634745811614345,0.42553058824388523
12,9,8,0.8284122746267456,0.5217888393688737,-0.05413293921471296,0.460614773,1.4589165500466434,-0.3222482757063064,0.4321729542376771
12,10,8,0.9800891452485574,0.531262187540776,0.04773231499932529,0.471751165,1.6743282234974122,-0.18453580316768692,0.41463738621015234
12,11,8,1.0580980846408579,0.576411999455703,0.11224268503006729,0.45874244124999997,1.8814156903778603,-0.1941207539980687,0.43760536810004425
12,12,8,0.994230766041137,0.5879779790607764,0.1597245257867561,0.37637223375000006,1.7672471530603748,-0.1399723318948455,0.4374127216335253
