lead_months,feature_i,feature_j,mean_abs_shap_product,signed_shap_corr
3,sst_nino34,sst_nino3,0.1172104196998724,0.9363247969259767
3,sst_nino34,tauu_eq,0.09030203923328714,0.11818873896305182
3,tauu_eq,sst_nino3,0.07247830748785943,0.07174390717058542
3,sst_nino34,d20_nino34,0.06595419007147806,0.6929037165079873
3,sst_nino34,d20_nino4,0.06253473996322108,-0.08374268570144527
3,sst_nino3,d20_nino34,0.05582026103845002,0.7254355022640119
3,sst_nino34,sst_nino4,0.05544007523373789,0.8146994051697325
3,tauu_eq,d20_nino4,0.05362688181551406,-0.29462365472083063
3,sst_nino3,d20_nino4,0.05143722450086235,-0.048080449395543
3,tauu_eq,d20_nino34,0.04502482139496654,0.04915736479232179
3,sst_nino3,sst_nino4,0.04482714587898522,0.7191938179073453
3,sst_nino34,olr_eq,0.039740807998259055,0.7449225736803909
3,tauu_eq,sst_nino4,0.038606802914574176,0.10503336757684271
3,d20_nino4,d20_nino34,0.034438475620931906,0.13618937956355648
3,sst_nino3,olr_eq,0.03168247131947726,0.6102749692842044
3,sst_nino34,slp_eq,0.030960395191325093,0.2601004340911109
3,d20_nino4,sst_nino4,0.02907013921504325,0.1581352772826031
3,tauu_eq,olr_eq,0.027745006059655308,-0.05809598632235641
3,d20_nino34,sst_nino4,0.02723881275354742,0.672157246930691
3,tauu_eq,slp_eq,0.02690989746628801,0.11582445373088951
3,sst_nino3,slp_eq,0.025280422543985798,0.2500432785776733
3,sst_nino34,sst_nino12,0.023911026082184334,0.41693869260218563
3,sst_nino3,sst_nino12,0.022381125625485086,0.6413820683484664
3,d20_nino4,olr_eq,0.02049669210937975,-0.08928567448711132
3,d20_nino4,slp_eq,0.01960063759644079,-0.010144794893987953
3,d20_nino34,olr_eq,0.01792719358949062,0.32694603218873264
3,tauu_eq,sst_nino12,0.016691111507012624,-0.027414284073472454
3,sst_nino4,olr_eq,0.015843424893715898,0.5567561471931055
3,d20_nino34,slp_eq,0.015242122907620819,0.08510843619054033
3,d20_nino4,sst_nino12,0.013290387253714031,0.12146050256495439
3,sst_nino4,slp_eq,0.012844889898058999,0.08508128890361195
3,d20_nino34,sst_nino12,0.012632254165692528,0.4697393176400953
3,olr_eq,slp_eq,0.010010529191863328,0.2973763055992992
3,sst_nino4,sst_nino12,0.009666133441344798,0.3425481332043332
3,olr_eq,sst_nino12,0.006504852192243447,0.12903779533620388
3,slp_eq,sst_nino12,0.005847673744283129,0.07152788798031291
6,tauu_eq,slp_eq,0.09289455443078606,0.04869757408075356
6,tauu_eq,d20_nino4,0.08643516843518965,-0.21308534831273082
6,slp_eq,d20_nino4,0.0752041200499682,-0.085547661110157
6,slp_eq,sst_nino34,0.06931022565808757,0.6289351939686347
6,sst_nino34,olr_eq,0.06918958946371598,0.9340802197411681
6,tauu_eq,sst_nino34,0.0687741211137517,0.08752530277242056
6,slp_eq,olr_eq,0.06389095813305783,0.7026546006035644
6,d20_nino4,sst_nino34,0.059311795412357,0.14681102556417308
6,sst_nino34,sst_nino3,0.05912117874669662,0.9836360029086764
6,tauu_eq,olr_eq,0.05756436219117441,-0.08609491347603308
6,sst_nino34,sst_nino12,0.05398300957171809,0.9019993385979868
6,tauu_eq,sst_nino3,0.053928086080440016,0.07622164075832703
6,slp_eq,sst_nino3,0.05391145353352669,0.6227671671871475
6,tauu_eq,sst_nino12,0.05355265023763792,0.04666338150125381
6,olr_eq,sst_nino3,0.05254130057328381,0.9206861637810821
6,slp_eq,sst_nino12,0.05173288072955238,0.5285639034277781
6,d20_nino4,olr_eq,0.05126062943831713,0.07578015776231077
6,tauu_eq,d20_nino34,0.04884600069843328,0.10116178695116232
6,d20_nino4,sst_nino12,0.04868211845134531,0.27647048328482154
6,olr_eq,sst_nino12,0.0476870600613409,0.8307239785794921
6,d20_nino4,sst_nino3,0.04735942723788996,0.18631183115879096
6,d20_nino4,d20_nino34,0.04403159864334594,0.35310545840558805
6,sst_nino12,sst_nino3,0.04182518524869998,0.9224225525493974
6,slp_eq,d20_nino34,0.04148086224627956,0.10377333370537835
6,sst_nino34,d20_nino34,0.03875639816899385,0.5539897245950134
6,tauu_eq,sst_nino4,0.03651909556509463,0.2584875598954933
6,olr_eq,d20_nino34,0.033329042660108145,0.44643626446019835
6,d20_nino4,sst_nino4,0.030854519637237496,0.2761654832074843
6,sst_nino3,d20_nino34,0.03053289990606217,0.5902069596738465
6,sst_nino12,d20_nino34,0.02960984990108154,0.5807254893937946
6,slp_eq,sst_nino4,0.028801890018217733,-0.20865930818036185
6,sst_nino34,sst_nino4,0.023625100894802558,0.24231511192078822
6,olr_eq,sst_nino4,0.02014401118831472,0.11576866632897258
6,sst_nino3,sst_nino4,0.018544459115777703,0.24584950955111565
6,sst_nino12,sst_nino4,0.018337540123074394,0.22976852652556462
6,d20_nino34,sst_nino4,0.017434083234671896,0.5078417671263767
12,d20_nino4,sst_nino12,0.04118093654054459,-0.11195977761154635
12,d20_nino4,tauu_eq,0.03144905643986883,0.2496138423641357
12,sst_nino12,tauu_eq,0.02596033723567411,0.2492374620313917
12,d20_nino4,d20_nino34,0.01619496578171422,0.09900160217143002
12,sst_nino12,d20_nino34,0.01280163923938759,-0.24020967978837052
12,d20_nino4,slp_eq,0.011669803882974132,0.2782249725208321
12,tauu_eq,d20_nino34,0.010194125257485597,0.3819284172007067
12,sst_nino12,slp_eq,0.009130830923838007,-0.14453237465934146
12,d20_nino4,sst_nino4,0.008611827909208525,0.010863131291520748
12,d20_nino4,sst_nino34,0.007258945200564562,0.16019204457995923
12,sst_nino12,sst_nino4,0.0071522238485440546,-0.1119143000681994
12,tauu_eq,slp_eq,0.007027263047271862,0.4447824163393846
12,d20_nino4,sst_nino3,0.006615993313896326,-0.031607935363125866
12,sst_nino12,sst_nino3,0.006227401533584383,0.3769723572589776
12,sst_nino12,sst_nino34,0.006218913809620471,0.28201662119078974
12,tauu_eq,sst_nino4,0.00583316857863176,0.5022995271447219
12,sst_nino12,olr_eq,0.004440909079023042,0.10832443427011311
12,d20_nino4,olr_eq,0.0043919816550960274,-0.3946804563950385
12,tauu_eq,sst_nino34,0.004125578703767926,0.08104339352923666
12,tauu_eq,sst_nino3,0.0037481707830912723,-0.09404035262205755
12,d20_nino34,slp_eq,0.003557076673508172,0.1289165891323453
12,tauu_eq,olr_eq,0.0032468626349771625,0.2912763016960546
12,d20_nino34,sst_nino4,0.0032247549412912717,0.6582063315832534
12,d20_nino34,sst_nino34,0.002151373255790055,-0.10998672181798307
12,d20_nino34,sst_nino3,0.0021170470479515823,-0.011781590698061771
12,slp_eq,sst_nino4,0.0020124143455733812,0.28481876898102515
12,d20_nino34,olr_eq,0.0017784592514777963,0.36239237262803986
12,slp_eq,sst_nino34,0.0014886989208759208,-0.16938624422906617
12,slp_eq,sst_nino3,0.001383971805123311,-0.2582723372445302
12,sst_nino34,sst_nino3,0.0011667261097357826,0.8623262200003985
12,slp_eq,olr_eq,0.0011108568968993154,-0.04592952275861604
12,sst_nino4,sst_nino34,0.0010794806982911342,-0.41675444287011765
12,sst_nino4,olr_eq,0.001003109343837064,0.4436093399235725
12,sst_nino4,sst_nino3,0.000988536311538221,-0.424976257195559
12,sst_nino34,olr_eq,0.0007191578512761839,0.02972472638488853
12,sst_nino3,olr_eq,0.0007099363142542759,0.09254938313654823
