lead_months,init_season,n_samples,rmse,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence
3,DJF,26,0.34224915354229235,0.8842928947841217,0.7605901680618193,-0.09139869157692306,0.6981761955266019,0.7984205372783365,0.5097954417020052
3,JJA,27,0.5712447701115546,0.9580269767291287,0.7885154222808015,-0.07393903444444447,0.631975151879085,0.9225085269182591,0.09609615439302888
3,MAM,27,0.28559258729639947,0.9318736323974418,0.8487857781321586,-0.06984861874074075,0.7166253218048131,0.4987170547855196,0.6014757243336899
3,SON,25,0.4105909185680434,0.9704813208629622,0.882459785089252,-0.213617858,0.3577093792452191,0.957601998237579,-0.14783380697035797
6,DJF,26,0.7016114778328398,0.3892756513329073,0.04538663798648224,-0.10743536819230769,1.3279089982722112,-0.0013724283190268125,0.47164189809261703
6,JJA,25,0.8431233548360243,0.7747174095821522,0.5043786106972452,-0.12396334783999999,0.7280219776902342,0.8334907080873181,-0.1581015143402229
6,MAM,27,0.9314718585852872,0.6645301819581934,0.4376927207566045,-0.06213210674074074,1.212461530508479,0.3215290936403001,0.23175141219148698
6,SON,24,0.45638585930655273,0.7547155250010162,0.5638553885086945,-0.04357193895833331,0.8723483631363487,0.6655035909994556,0.4768307265852927
12,DJF,24,1.077259753271699,0.2642480035800811,0.03299949513817946,0.20885777966666672,1.5487037590621822,0.0495319105106721,0.3044119981189729
12,JJA,24,0.589758363412511,0.4886452389335579,-0.08760139842089876,0.27587512845833334,1.0320852677952534,-0.3417750135397171,0.428575930870173
12,MAM,24,0.7089620904078496,0.2698917616025072,-0.052475944071304514,0.15309987791666665,0.9082629942184514,0.18503786603180097,0.21943083124519192
12,SON,24,0.9602800261914852,0.5358047276776622,0.052986731804988696,0.4637027930833333,1.6804302524452877,-0.22032856313582314,0.42855109589099083
